title,summary,keywords,score
ViTAL: LLM-Powered Taint Analysis for GUI Field Visualization Auditing in Android,"ViTAL is a framework that combines static analysis with large language models to automatically audit whether server-side data fields in Android apps are displayed on the user interface. It achieves 93% recall and 79% precision in identifying visualization fields, helping uncover previously missed content for mobile security auditing.",taint analysis; Android security; GUI auditing; large language models; static analysis,1
LLM Test Generation via Iterative Hybrid Program Analysis,"This paper presents Panta, a technique that combines static control flow analysis and dynamic code coverage analysis to guide large language models in generating unit tests. By iteratively refining tests based on feedback about uncovered execution paths, it significantly improves branch and line coverage. The main result shows a 26% increase in line coverage and 23% increase in branch coverage over existing methods.",unit test generation; large language models; static analysis; dynamic analysis; coverage-guided testing,2
SEER: Enhancing Chain-of-Thought Code Generation through Self-Exploring Deep Reasoning,"This paper introduces SEER, a framework that improves chain-of-thought code generation in large language models by treating it as a decision-making problem. It uses diverse reasoning path exploration, quality-aware model training, and adaptive reasoning to outperform existing methods on benchmarks like MBPP and HumanEval. The main result is significant accuracy gains over baseline models.",code generation; chain-of-thought reasoning; large language models; self-exploring reasoning; adaptive reasoning,0
Green Software Engineering in Practice: Quantifying the Impact of Carbon Reduction Strategies in Enterprise Software,"This paper evaluates carbon emission reduction strategies for an enterprise financial application by applying the Software Carbon Intensity (SCI) specification to measure the impact of application-level configurations. The main result is that garbage collection optimization reduced carbon emissions by up to 30.6%, while other configurations had minimal effect, demonstrating that developers can achieve significant carbon footprint reductions through application-level changes.",green software engineering; carbon footprint; software carbon intensity; application-level optimization; enterprise software,5
PerfScout: An Adaptive Workload Generator in Software Performance Testing,"PerfScout is a reinforcement learning-based framework that automatically generates adaptive workloads for software performance testing, replacing static thresholds with real-time adaptation. It uses SPOT for dynamic breaking point identification, ADF/KPSS tests for stationarity assessment, and PPO for policy optimization. Deployed in Huawei Cloud, it achieves over 82% accuracy in breaking point identification and improves testing efficiency by up to 90%.",reinforcement learning; performance testing; adaptive workload generation; breaking point identification; cloud computing,1
NotDec: WebAssembly Decompilation With Inter-Procedural Type Recovery,"NotDec is a WebAssembly decompilation framework that uses inter-procedural type recovery and SSA-based IR to produce readable C code from bytecode. It achieves 100% recompilation success on benchmark datasets and significantly outperforms existing tools like Ghidra in type recovery accuracy. The paper presents a method for understanding WebAssembly binary behavior, crucial for security auditing.",WebAssembly decompilation; type recovery; inter-procedural analysis; SSA-based IR; binary security,0
Why Attention Fails: A Taxonomy of Faults in Attention-Based Neural Networks,"This paper presents the first comprehensive empirical study of faults in attention-based neural networks, analyzing 555 real-world faults from 96 projects. It develops a novel taxonomy of seven attention-specific fault categories, showing that over half of these faults stem from mechanisms unique to attention architectures.",attention mechanisms; neural network faults; fault taxonomy; deep learning reliability; attention-based models,1
LogFold: Compressing Logs with Structured Tokens and Hybrid Encoding,"This paper presents LogFold, a new compression method specifically designed for log data. It achieves better compression ratios than existing tools by identifying redundancies in structured tokens and using a type-aware encoding strategy. Experiments on 16 public datasets show an average 11.11% improvement in compression ratio.",log compression; structured tokens; hybrid encoding; token classification; software logs,1
"IEEE Computer Society Harlan D. Mills Award and Talk by Andreas Zeller: Should Computer Scientists Experiment Less? On the past, present, and future of software engineering research","The paper discusses the current state of software engineering research, arguing that the focus on experimental evaluations and benchmark scores has become counterproductive. The author predicts that AI agents will soon automate these evaluations, forcing researchers to shift their focus to uniquely human skills like creativity and abstraction. The main result is a call to rethink the role of human researchers in an era of autonomous agents.",software engineering research; AI agents; experimental evaluation; human creativity; research methodology,3
WhatsCode: Large-Scale GenAI Deployment for Developer Efficiency at WhatsApp,"WhatsCode is a domain-specific AI development system deployed at WhatsApp that evolved from privacy automation to autonomous agentic workflows integrated with feature development and DevOps. Over 25 months, it improved privacy verification coverage, generated thousands of accepted code changes, and identified key human-AI collaboration patterns. The study shows that organizational factors like ownership and risk management are as important as technical capabilities for enterprise-scale AI success.",AI-assisted development; agentic workflows; human-AI collaboration; large-scale deployment; compliance automation,8
Assessing Coherency and Consistency of Code Execution Reasoning by Large Language Models,"This paper introduces CES, a task that evaluates how well large language models (LLMs) simulate program execution and use that reasoning in programming tasks, measuring both correctness and coherence. The main result shows that while frontier LLMs like GPT-4 and DeepSeek-R1 often simulate execution coherently, their reasoning across different tests is mostly weak or random, and they rarely use execution reasoning in bug-related tasks, relying instead on pattern matching or shortcuts. This threatens the generalizability of LLMs for unseen programming problems.",code execution reasoning; large language models; coherence; program simulation; reasoning consistency,1
Top General Performance = Top Domain Performance? DomainCodeBench: A Multi-domain Code Generation Benchmark,"The paper introduces DomainCodeBench, a benchmark for evaluating code generation in 12 specialized domains, and finds that top general-domain large language models often underperform in specific application areas due to domain knowledge gaps and library misuse. It also shows that adding domain-specific context to prompts improves performance by about 38%. The main result is that general-domain performance does not reliably predict specialized domain performance.",code generation; large language models; domain-specific evaluation; benchmark; domainCodeBench,2
The SWE-Bench Illusion: When State-of-the-Art LLMs Remember Instead of Reason,,,
What’s DAT? Three Case Studies of Measuring Software Development Productivity at Meta With Diff Authoring Time,"This paper introduces Diff Authoring Time (DAT), a simple yet precise metric for measuring software development productivity based on active work time per code change. Validated at Meta through experiments and case studies, DAT shows improvements such as 14% for typed mocks, 33% for automatic memoization, and over 50% for code sharing, enabling rigorous experimentation on developer efficiency.",software development productivity; Diff Authoring Time; developer efficiency; empirical software engineering; Meta,1
Hallucinating Certificates: Differential Testing of TLS Certificate Validation Using Generative Language Models,"This paper introduces MLCerts, a method that uses generative language models to create synthetic TLS certificates for differential testing of certificate validation in TLS implementations. The main result is that MLCerts uncovers significantly more discrepancies between five major TLS libraries than prior approaches, revealing previously unobserved security-relevant behaviors.",TLS certificate validation; differential testing; generative language models; synthetic certificate generation; security testing,1
Fuzzing Java Optimizing Compilers with Complex Inter-Class Structures Guided by Heterogeneous Program Graphs,"This paper introduces InterFuzz, a fuzzing framework that generates Java test cases with complex inter-class structures to uncover bugs in modern compilers like HotSpot, ART, and R8. It uses a Heterogeneous Program Graph (HPG) to model inter-class relationships and employs inter-class mutators and graph complexity guidance to produce high-diversity test cases. The tool found 24 new compiler bugs, 20 confirmed, many of which rely on intricate inter-class interactions missed by traditional fuzzers.",fuzzing; Java compilers; inter-class structures; program graph; compiler bug detection,0
META²V2V: Revealing Behavioural Deviations under Mutual Perception in Multi-Vehicle Autonomous Driving,"This paper introduces META²V2V, a metamorphic testing framework to evaluate autonomous driving systems in multi-vehicle scenarios where vehicles share information via V2V communication. It systematically injects controlled perturbations into V2V data to test the soundness and robustness of driving decisions, finding many more behavioral deviations than random testing. The main result is that the framework detects significantly more violations revealing performance issues in shared perception settings.",autonomous driving; V2V communication; metamorphic testing; mutual perception; multi-vehicle scenarios,3
Beyond the Commit: Developer Perspectives on Productivity with AI Coding Assistants,"This paper investigates how to measure developer productivity when using AI coding assistants, using surveys and interviews with 2989 developers and 11 in-depth interviews at BNY Mellon. The main result shows that a multifaceted approach is needed, revealing conflicting views on AI tool usefulness and highlighting six factors including long-term metrics like technical expertise and ownership. The study recommends incorporating broader human-centered factors for evaluating productivity.",developer productivity; AI coding assistants; software engineering; mixed-method research; human-centered metrics,2
Assessing the Sustainability-Quality (SQ) Model: A Multi-Year Empirical Study in Education,This paper evaluates the Sustainability-Quality (SQ) Model through a multi-year educational study where master's students applied it across 63 projects. The main results show that the model achieves 88% classification accuracy and identifies common concerns like resource utilization while highlighting that sustainability-specific issues such as carbon footprint are less frequently recognized. The findings provide evidence that the model is usable by novices and can improve sustainability education in software engineering.,sustainability assessment; software engineering; quality model; education; empirical study,6
Fairness-First Design Thinking for Software Architecture,"This paper presents a fairness-first Design Thinking approach for software architecture to address hidden fairness issues in digital systems. The approach was tested in a graduate course, and the results show that fairness theory and context identification are key to holistic design, with composite views proposed for cross-cutting fairness concerns. The main outcome is a method to translate fairness into actionable design decisions.",fairness; design thinking; software architecture; fairness-first design; education,2
Enforcing Control Flow Integrity on DeFi Smart Contracts,"This paper analyzes attack transactions on DeFi protocols and discovers that attacks introduce novel control flows not seen in benign transactions. It introduces CrossGuard, a framework that enforces control flow integrity in real-time by whitelisting allowed control flows, successfully blocking most attacks with low false positives and minimal overhead. The main result is that control flow integrity can significantly enhance smart contract security without prior knowledge of specific exploits.",control flow integrity; DeFi security; smart contracts; blockchain attacks; runtime monitoring,2
AnchorDiff: Binary OSS Version Identification Method Based on Anchor Node Slicing,"This paper introduces AnchorDiff, a new method for identifying the exact version of open-source software embedded in binary files. It works by dividing the version history into regions using anchor nodes, then using code similarity and adaptive matching to pinpoint the version. The method achieves high accuracy (over 90%) while also drastically reducing storage requirements compared to previous approaches.",binary code analysis; version identification; open-source software; vulnerability detection; binary code similarity,0
Generating Energy-Efficient Code via Large-Language Models - Where are we now?,"This paper investigates how energy-efficient Python code generated by large language models (LLMs) compares to human-written code and code by a green software expert. Testing 363 solutions across multiple LLMs and hardware platforms, it finds that while LLMs sometimes beat average human coders, they consistently lag behind a green software expert by 17–30%, highlighting that human expertise remains crucial for energy-efficient code generation.",energy efficiency; green software; large language models; code generation; Python,9
Depradar: Agentic Coordination for Context-Aware Defect Impact Analysis in Deep Learning Libraries,"DepRadar is an agentic coordination framework that helps downstream users assess whether defects in deep learning library updates (e.g., Transformers, Megatron) affect their own programs. It uses four specialized agents to extract defect semantics, synthesize trigger conditions, and statically analyze client code, achieving high precision and recall in impact analysis. The main result is that DepRadar significantly outperforms baselines in identifying affected cases and can uncover silent defects missed by developers.",agent coordination; defect impact analysis; deep learning libraries; static analysis; context-aware testing,2
Intelligent Triage: Interpretable Incident Triage Workflow using LLM Extracted Triage Reasoning,"This paper presents Intelligent Triage, a workflow that uses LLMs to extract interpretable triage reasoning rules from past incidents to automate incident triage in cloud services. The key innovation is breaking down end-to-end solutions into stepwise 'triage rules' that provide justifications to upstream tools and downstream teams. Deployed in Microsoft Azure for over six months, it achieved 10% higher accuracy and reduced time to mitigation.",incident triage; large language models; cloud computing; interpretable AI; automated workflow,2
TerraFormer: Automated Infrastructure-as-Code with LLMs Fine-Tuned via Policy-Guided Verifier Feedback,"TerraFormer is a framework that uses large language models fine-tuned with feedback from formal verification tools to generate and modify Infrastructure-as-Code from natural language. It produces two large datasets, TF-Gen and TF-Mutn, and outperforms many larger models on correctness and compliance benchmarks. The main result is that combining supervised fine-tuning with verifier-guided reinforcement learning significantly improves IaC generation accuracy and policy adherence.",Infrastructure-as-Code; large language models; fine-tuning; verifier feedback; policy compliance,1
Scalpel: Automotive Deep Learning Framework Testing via Assembling Model Components,"This paper introduces Scalpel, a method for testing deep learning frameworks in autonomous driving systems by generating test models from reusable components (heads, necks, backbones). Scalpel detects crashes and bugs caused by memory and deployment issues that existing methods miss, achieving significantly higher efficiency and finding 16 crashes and 21 bugs in Apollo. The main result is that Scalpel outperforms prior approaches in both model generation and bug detection for automotive DL frameworks.",autonomous driving; deep learning framework testing; model components; inference optimization; differential testing,2
CombCT: Compiler Testing via Combinatorial Testing,"This paper presents CombCT, a novel approach that uses combinatorial testing to systematically explore compiler optimization sequences and detect bugs. The method outperforms existing techniques, finding more unique bugs including 14 previously unknown ones in GCC and LLVM, with 13 confirmed or fixed.",compiler testing; combinatorial testing; optimization sequences; bug detection; GCC/LLVM,0
GUISpector: An MLLM Agent Framework for Automated Verification of Natural Language Requirements in GUI Prototypes,"GUISpector is a framework that uses a multimodal LLM agent to automatically verify whether graphical user interface (GUI) prototypes meet natural language requirements. It interprets requirements, plans and executes verification steps on GUIs, and provides detailed feedback for developers or LLM-based code generation. Evaluated on 150 requirements with 900 acceptance criteria, it effectively detects satisfaction and violations, enabling a closed-loop development workflow.",GUI testing; multimodal LLM agent; requirements verification; automated feedback; software engineering,2
GPTrace: Effective Crash Deduplication Using LLM Embeddings,"This paper introduces GPTrace, a crash deduplication method that uses large language model embeddings to cluster similar crashing inputs, reducing the manual effort needed to analyze fuzzing results. The approach outperforms traditional stack trace comparison and other state-of-the-art techniques across a large benchmark of real-world crashes.",crash deduplication; fuzzing; LLM embeddings; software vulnerability; clustering,1
StorFuzz: Using Data Diversity to Overcome Fuzzing Plateaus,"StorFuzz is a new fuzzing technique that overcomes plateaus in long-running fuzzing campaigns by using data coverage based on memory stores, rather than just code coverage. It automatically instruments memory stores to capture hidden program behavior, diversifies the test corpus, and helps conventional fuzzers find new bugs. The paper reports discovering 50 new bugs in widely-used software like VLC and PHP, some present for 14 years, and outperforms state-of-the-art fuzzers on most benchmarks.",fuzzing; data coverage; bug discovery; memory stores; plateau mitigation,1
Knowledge Matters: Injecting Project and Testing Knowledge into LLM-based Unit Test Generation,"This paper introduces KTester, a framework that improves LLM-based unit test generation by injecting project-specific knowledge and testing domain expertise. It uses static analysis to extract project context and a multi-perspective prompting strategy to generate more correct, maintainable, and readable tests. Evaluations show KTester outperforms existing LLM-based methods in correctness, coverage, and human-judged quality.",unit test generation; large language models; static analysis; prompting strategy; software testing,1
Towards Bridging Language Gaps in OSS with LLM-Driven Documentation Translation,"This paper evaluates the ability of large language models (LLMs) like ChatGPT-4 and Claude to translate open-source technical documentation, which mixes natural language, code, and formatting. The authors find that LLMs can produce accurate semantic translations but often struggle to preserve document structure and technical details. The study lays groundwork for using LLMs to automate documentation translation in open source projects.",LLM translation; open source documentation; technical documentation; software localization; empirical evaluation,1
A Large-Scale Empirical Study of Secret Key Leakage in Hugging Face Spaces,"This paper conducts the first large-scale empirical study of secret key leakage in Hugging Face Spaces, analyzing over 313,000 public repositories. The authors introduce Secret Reviewer, a framework combining static analysis and LLM-assisted detection, uncovering over 11,000 unique leaked secrets, with 76% from major AI providers like OpenAI and Groq. The study reveals that 30% of detected keys remained active, highlighting significant security risks in AI platform ecosystems.",secret leakage; Hugging Face Spaces; static analysis; LLM-assisted detection; AI security,4
How Good are Input Grammar Miners? An Empirical Study,"This paper empirically evaluates input grammar mining tools, which automatically infer grammars from program inputs or code. The authors find that previous evaluations are biased toward short inputs and propose using k-path coverage to measure grammar diversity and accuracy more deeply. Their results show that grammar accuracy drops significantly for deeper paths in complex languages, indicating that current grammar mining still has room for improvement.",grammar mining; input grammar; empirical evaluation; k-path coverage; software testing,1
Catching License Changes Before They Cost: Leveraging LLMs to Analyze License Evolution in Open Source Software - Solution to challenge #13,"This paper addresses the challenge of detecting and analyzing license changes in open source software over time, using large language models (LLMs) to anticipate costly legal risks. The main result is a solution that leverages LLMs to track license evolution, helping developers and organizations avoid compliance issues.",license analysis; open source software; LLMs; license evolution; compliance risk,1
SEALing the Gap: A Reference Framework for LLM Inference Carbon Estimation via Multi-Benchmark Driven Embodiment,"This paper proposes a reference framework called SEAL for estimating the carbon footprint of LLM inference at the per-prompt level, addressing the growing environmental impact of deployed models. The framework uses multi-benchmark-driven machine learning to provide accurate, standardized carbon estimations, with initial validation showing promising results. The work aims to enable sustainability-focused decision-making in the LLM ecosystem.",LLM inference; carbon estimation; sustainability; green AI; machine learning,8
Sapling: Quantifying and Measuring the Maturity of the RISC-V Software Ecosystem,"This paper presents Sapling, a framework that evaluates the maturity of the RISC-V software ecosystem across five domains, thirty components, and six dimensions. The main result shows that the RISC-V ecosystem is still developing but steadily advancing, with thirteen key insights and five recommendations provided for improvement.",RISC-V; software ecosystem; maturity measurement; open-source hardware; ecosystem evaluation,0
No Shot in the Dark: Efficient Context-Free Language Reachability via Context-Aware Tabulation,"This paper introduces Context-Aware Tabulation (CAT), a method that adds context sensitivity to context-free language reachability for static program analysis. CAT eliminates unproductive edges, achieving significant speedups (up to 2.13x) and memory reductions (up to 50.15%) compared to existing solvers.",context-free language reachability; static program analysis; tabulation algorithm; context sensitivity; performance optimization,0
SSAR: A Novel Software Architecture Recovery Approach Enhancing Accuracy and Scalability,"This paper proposes a new software architecture recovery approach called SSAR that combines semantic similarity and structural dependencies between files to build a weighted graph, then uses an optimized community detection algorithm for modularization. The method improves accuracy by up to 500% on certain metrics and reduces execution time by 5% to 99% compared to existing techniques. Its main result is a more precise and scalable way to recover software architecture from large-scale systems.",software architecture recovery; community detection; semantic similarity; modularization; scalability,0
An Ontology-Based Approach to Security Risk Identification for Container Deployments in OT Contexts,,,
EmbedAgent: Benchmarking Large Language Models in Embedded System Development,"This paper introduces EmbedAgent, a benchmark for evaluating large language models on embedded system development tasks, including programming, circuit design, and cross-platform migration. The main result shows that even top models like DeepSeek-R1 achieve only moderate success, with performance varying widely across hardware platforms. The authors propose strategies like retrieval augmented generation and compiler feedback to improve LLM performance on these tasks.",LLM; embedded systems; benchmark; hardware-software co-design; cross-platform migration,0
The Undecidability of Overfitting in Automated Program Repair,"This paper argues that overfitting in automated program repair is not merely a technical flaw but an unavoidable consequence of undecidability when full specifications are missing. The authors reframe overfitting as a fundamental boundary of the repair problem rather than a solvable bug, and they call for methods to quantify and reason about it as an inherent aspect of repair.",automated program repair; overfitting; undecidability; test suites; software engineering,0
Debugging Performance Issues in WebAssembly Runtimes via Mutation-based Inference,"This paper introduces WarpL, a mutation-based tool for debugging performance issues in WebAssembly (Wasm) runtimes by identifying suboptimal instruction sequences that cause slowdowns. It compares machine code of original and functionally similar mutated programs to isolate root causes. The tool successfully diagnosed the exact causes in 10 out of 12 real-world issues and found six previously unknown bugs in Wasmtime.",WebAssembly; performance debugging; mutation analysis; runtime optimization; compiler issues,1
An Eye for AI: Eye-Tracking the Micro-Interruptions of GenAI Code Suggestions,"This paper uses eye-tracking to study how developers interact with AI code suggestions like GitHub Copilot, finding that nearly half of suggestions are ignored and over 75% of viewed suggestions are not used. Each suggestion causes a brief micro-interruption averaging 0.9 seconds that disrupts developer flow, highlighting the need for more efficient and context-aware generative AI tools.",eye-tracking; generative AI code suggestions; developer cognition; micro-interruptions; GitHub Copilot,2
Inside Out: Uncovering How Comment Internalization Steers LLMs for Better or Worse,"This paper investigates how Large Language Models (LLMs) internalize comments in source code as distinct latent concepts during software engineering tasks. By employing Concept Activation Vectors, the authors show that manipulating these internal comment representations can cause performance changes from -90% to +67% depending on the task and model. The findings suggest that understanding and controlling such internal concepts may lead to more interpretable and efficient SE tools.",Large Language Models; interpretability; concept activation vectors; code comments; software engineering tasks,2
A First Look at Model Supply Chain: From the Risk Perspective,"This paper constructs the first large-scale model supply chain from Hugging Face, mapping 1.82 million models and 0.54 million dependency relations. It systematically analyzes usage, evolution, quality, and risk within this supply chain, offering actionable insights for stakeholders. The main result is a comprehensive characterization of the supply chain's risk landscape.",model supply chain; Hugging Face; risk management; AI models; dependency relations,3
Exploring and Improving Real-World Vulnerability Data Generation via Prompting Large Language Models,"This paper explores how large language models (LLMs) can generate realistic software vulnerability data through prompting, using both single- and multi-line code injections. The authors introduce a new prompting strategy called VICS and show it achieves high success rates, significantly improving downstream vulnerability analysis models by up to 36.2%. The main result is that LLM-generated vulnerability data can outperform even advanced LLMs in vulnerability analysis tasks.",vulnerability data generation; large language models; prompting; code injection; vulnerability analysis,1
Project-Level Resource Leak Detection through Agent-based Ownership Analysis and Repair Pattern Verification,"This paper introduces AROP, a framework that combines LLM-based agents with static analysis to detect resource leaks at the project level. It filters relevant files using metadata, uses agents to identify resource operations, and applies validation and data-flow analysis to reduce false positives, achieving high precision and recall on benchmarks.",resource leak detection; LLM agents; static analysis; project-level analysis; repair pattern verification,1
Understanding DevOps Security of Google Workspace Apps,"This paper investigates the security of DevOps practices in Google Workspace add-ons, analyzing how add-ons are developed, deployed, and operated. It finds serious vulnerabilities like source code leakage and secret key exposure, affecting hundreds of add-ons including widely-used ones. The main result is a large-scale evaluation revealing that 274 add-ons have source code leakage, with 96 exposing developer secret keys.",DevOps security; Google Workspace add-ons; application security; static and dynamic analysis; secret key exposure,2
Towards Automating Domain-Specific Data Generation for Text-to-SQL: A Comprehensive Approach,"This paper introduces SelectCraft, a method for automatically generating domain-specific Text-to-SQL datasets to address the scarcity of high-quality training data. The authors create a financial dataset with over 1 million samples and fine-tune a language model called BanQL, showing improved accuracy and generalizability over existing models.",Text-to-SQL; dataset generation; domain-specific data; large language model; natural language interfaces,0
Towards Scalable and Interpretable Mobile App Risk Analysis via Large Language Models,"This paper presents Mars, a system that uses large language models to automate the analysis of mobile apps for security risks, reducing the need for manual review. It pre-filters app features using a risk identification tree to minimize irrelevant data and LLM hallucination, then generates transparent evidence chains for each assessment. The system achieved high accuracy on real-world data and improved analyst efficiency by 60-90% in user studies.",mobile app security; large language models; risk analysis; automated vetting; evidence chains,0
Environment-Aware Code Generation: How far are We?,"This paper investigates whether large language models (LLMs) can generate code that is not only functionally correct but also executable in specific user-defined software environments, a task called Environment-Aware Code Generation (EACG). The authors create a benchmark from real-world Python projects and test three adaptation strategies—retrieval-augmented generation, mixture-of-experts, and memory-augmented generation—finding that current LLMs struggle but these methods improve environment compatibility. The study highlights key challenges for using LLMs in practical, heterogeneous software engineering settings.",environment-aware code generation; large language models; code executability; software configuration; LLM adaptation strategies,1
NB2P: Generating Data Science Pipelines from Computational Notebooks,"This paper presents NB2P, a system that automatically extracts data science pipelines from computational notebooks by parsing them into an abstract syntax tree, recovering execution order, and grouping operations into pipeline stages using a tree-based learned encoding-decoding algorithm. The main result is that NB2P consistently outperforms baselines using large language models and other machine learning models for source code segmentation, with low overhead, when trained on a large Kaggle notebook corpus.",computational notebooks; data science pipelines; pipeline extraction; semantic segmentation; abstract syntax tree,0
Characterizing Regression Bug‑Inducing Changes and Improving LLM‑Based Regression Bug Detection,"This paper analyzes 280 regression bugs from open-source Java projects to characterize the code changes that introduce them, finding that features additions, bug fixes, performance improvements, and refactoring are common triggers. The authors develop a taxonomy of root causes (intrinsic and compatibility errors) and show that large language models (LLMs) have limited detection ability. They then introduce LLM4Reg, a system that significantly improves LLM-based regression bug detection precision, recall, and explanation.",regression bugs; LLM-based detection; code changes; bug-inducing commits; Java projects,0
Model Discovery and Graph Simulation: A Lightweight Gateway to Chaos Engineering,"This paper proposes a lightweight chaos engineering approach using a simple connectivity-only topological model (service-dependency graph plus replica counts) to estimate availability under fail-stop faults without expensive live experiments. The authors introduce model discovery to automatically synthesize such models from existing artifacts like traces and telemetry, demonstrating on DeathStarBench that the discovered model closely tracks live fault-injection results with low error. This provides a low-risk gateway for teams to triage chaos experiments and generate real-time resilience signals.",chaos engineering; model discovery; topological model; availability estimation; service dependency graph,3
Unveiling the Potential of Diffusion Large Language Models in Software Engineering Tasks: An Empirical Study,"This paper presents the first comprehensive evaluation of Diffusion Large Language Models (DLLMs) across software engineering tasks. The study finds that 7B-parameter DLLMs outperform autoregressive LLMs, achieving a 30% average accuracy improvement and 113% gain on cross-file repair while maintaining superior efficiency. The results establish DLLMs as a superior paradigm for software engineering tasks.",Diffusion Large Language Models; software engineering; code generation; program repair; empirical study,3
MAJIT: Just-in-Time Detection of Compatibility Issues in Android and iOS Apps through Large Language Model-based Multi-Agent Collaboration,"This paper presents MAJIT, a multi-agent system using large language models to detect compatibility issues in Android and iOS apps at the time of code changes. It achieves over 96% precision and recall in identifying system version, device, and screen size problems. The approach uses diff-augmented analysis to provide context and returns evidence for flagged issues.",mobile app compatibility; multi-agent system; large language model; just-in-time detection; cross-platform bugs,0
Atomizer: An LLM-based Collaborative Multi-Agent Framework for Intent-Driven Commit Untangling,"Atomizer is a multi-agent framework that uses large language models to untangle composite commits (commits containing multiple unrelated changes) by inferring the semantic intent behind code changes. It employs an Intent-Oriented Chain-of-Thought strategy and a grouper-reviewer collaborative refinement loop, outperforming existing graph-based methods by over 6% on C# and 5.5% on Java benchmarks.",commit untangling; multi-agent framework; large language models; semantic intent; collaborative refinement,2
ConfLogger: Enhance Systems' Configuration Diagnosability through Configuration Logging,,,
Context-Free Grammar Inference for Complex Programming Languages in Black Box Settings,,,
LoopSCC: Summarizing Complex Multi-branch Nested Loops via Periodic Oscillation Interval,,,
Efficient Strong Updates For Path Sensitive Data Dependence Analysis,,,
"Change And Cover: Last-Mile, Pull Request-Based Regression Test Augmentation",,,
Relax with Capybaras,,,
"One Signature, Multiple Payments: Demystifying and Detecting Signature Replay Vulnerabilities in Smart Contracts",,,
USCSA: Evolution-Aware Security Analysis for Proxy-Based Upgradeable Smart Contracts,,,
