title,summary,keywords,score
ViTAL: LLM-Powered Taint Analysis for GUI Field Visualization Auditing in Android,"ViTAL is a framework that combines static analysis with large language models to audit whether server-side data fields in Android apps are displayed on the user interface. It achieves 93% recall and 79% precision, successfully uncovering previously missed visualization fields. The tool helps improve security auditing of user-generated content in mobile apps.",taint analysis; Android security; large language models; GUI visualization auditing; static analysis,2
LLM Test Generation via Iterative Hybrid Program Analysis,Panta is a technique that combines static analysis and dynamic code coverage feedback to guide LLMs in generating unit tests with higher coverage. It iteratively analyzes control flow and execution paths to help LLMs produce tests for previously uncovered branches and lines. The method achieves 26% higher line coverage and 23% higher branch coverage over existing approaches.,test generation; large language models; static analysis; code coverage; iterative feedback,2
SEER: Enhancing Chain-of-Thought Code Generation through Self-Exploring Deep Reasoning,"This paper introduces SEER, a framework that treats Chain-of-Thought code generation as a decision-making problem to improve LLM-based code generation. It enhances reasoning by exploring diverse paths, assessing step quality with a value model, and dynamically switching between direct and step-by-step approaches. Experiments show SEER significantly outperforms baselines on benchmarks like MBPP and HumanEval.",code generation; Chain-of-Thought reasoning; Large Language Models; decision making; deep reasoning,1
Green Software Engineering in Practice: Quantifying the Impact of Carbon Reduction Strategies in Enterprise Software,"This paper applies the Software Carbon Intensity (SCI) specification to quantify the carbon footprint of an enterprise financial application and tests 18 application-level configurations. The main result is that garbage collection optimization reduced carbon emissions by up to 30.6%, while other configurations had minimal effect. The study demonstrates that developers can achieve significant carbon reductions through application-level adjustments without compromising functionality.",green software engineering; software carbon intensity; carbon footprint reduction; application-level optimization; enterprise software,7
PerfScout: An Adaptive Workload Generator in Software Performance Testing,PerfScout is a reinforcement learning-based framework that automates software performance testing by adaptively generating workloads instead of using static rules. It identifies system breaking points with high accuracy and improves testing efficiency by up to 90% in real-world deployments at Huawei Cloud.,adaptive workload generation; reinforcement learning; performance testing; breaking point identification; PPO,1
NotDec: WebAssembly Decompilation With Inter-Procedural Type Recovery,"This paper presents NotDec, a WebAssembly decompilation framework that improves type recovery and readability of decompiled C code. It achieves 100% recompilation success on thousands of test samples and recovers over 85% of struct member accesses in real-world programs, significantly outperforming existing tools like Ghidra.",WebAssembly; decompilation; type recovery; inter-procedural analysis; binary auditing,0
Why Attention Fails: A Taxonomy of Faults in Attention-Based Neural Networks,"This paper presents the first comprehensive empirical study of faults in attention-based neural networks, analyzing 555 real-world faults from 96 projects. It develops a novel taxonomy of seven attention-specific fault categories not covered by existing taxonomies, and identifies diagnostic heuristics that explain 33% of these faults. The main result is that over half of all faults in such networks stem from mechanisms unique to attention architectures.",attention mechanisms; neural network faults; taxonomy; empirical study; diagnostic heuristics,2
LogFold: Compressing Logs with Structured Tokens and Hybrid Encoding,"This paper introduces LogFold, a new method for compressing log files that identifies redundancies in structured tokens and uses a type-aware hybrid encoding strategy. It achieves an average 11.11% improvement in compression ratio over existing state-of-the-art methods across 16 public datasets. The method consists of four components: a token analyzer, a pattern miner for structured tokens, a hybrid encoder, and a packer.",log compression; structured tokens; hybrid encoding; token classification; data compression,1
"IEEE Computer Society Harlan D. Mills Award and Talk by Andreas Zeller: Should Computer Scientists Experiment Less? On the past, present, and future of software engineering research","This paper critiques the current emphasis on experimental evaluation in software engineering research, arguing that it has shifted from a quality filter to a competition for better benchmark numbers. The author predicts that AI agents will soon automate experimentation and paper writing, and proposes that researchers should refocus on uniquely human strengths like creativity, abstraction, and normativity. The main result is a call to rethink the role of researchers and prioritize human-centric contributions over automated optimizations.",software engineering research; experimental evaluation; AI agents; benchmark competition; human-centric research,2
WhatsCode: Large-Scale GenAI Deployment for Developer Efficiency at WhatsApp,"This paper presents WhatsCode, a domain-specific AI system deployed at WhatsApp to improve developer efficiency over 25 months. It evolved from privacy automation to autonomous agentic workflows, achieving significant impact such as tripling privacy verification coverage and generating thousands of accepted code changes. The study highlights that organizational factors and human-AI collaboration patterns are key to success in large-scale, compliance-relevant environments.",AI-assisted development; agentic workflows; developer efficiency; human-AI collaboration; enterprise AI deployment,8
Assessing Coherency and Consistency of Code Execution Reasoning by Large Language Models,"This paper introduces CES, a task to evaluate how well LLMs simulate program execution and use that reasoning in programming tasks. It measures coherence—whether the simulation follows commonsense logic even when predictions are wrong—and consistency across tests. The main finding is that even frontier LLMs like GPT-4 often rely on shortcuts rather than genuine execution reasoning, and their reasoning is mostly inconsistent, limiting their reliability for path-sensitive programming tasks.",LLM reasoning; program execution simulation; coherence metric; consistency evaluation; code understanding,3
Top General Performance = Top Domain Performance? DomainCodeBench: A Multi-domain Code Generation Benchmark,"This paper introduces DomainCodeBench, a multi-domain benchmark for evaluating code generation in large language models across 12 application domains and 15 programming languages. The main finding is that top general-domain models do not consistently perform well in specialized domains, and that adding domain-specific knowledge to prompts can improve performance by about 38%.",code generation; large language models; domain-specific benchmark; performance decoupling; domain knowledge,0
The SWE-Bench Illusion: When State-of-the-Art LLMs Remember Instead of Reason,"This paper investigates whether state-of-the-art LLMs truly reason or simply memorize when solving software engineering tasks on the SWE-Bench Verified benchmark. The authors introduce diagnostic tests to detect memorization and find that models achieve high accuracy on SWE-Bench but much lower accuracy on similar tasks from other repositories, suggesting data contamination or memorization. The main result is that performance gains on SWE-Bench may be inflated by memorization rather than genuine problem-solving ability.",memorization; LLM evaluation; benchmark contamination; software engineering; SWE-Bench,1
What’s DAT? Three Case Studies of Measuring Software Development Productivity at Meta With Diff Authoring Time,"This paper introduces Diff Authoring Time (DAT), a time-based metric for measuring software development productivity by tracking how long engineers take to create self-contained code changes. The authors validate DAT at Meta through experiments and case studies, showing improvements such as a 14% gain from typed mocks and 33% from automatic memoization. DAT enables rigorous, experiment-driven development workflows for internal tools.",Diff Authoring Time; software development productivity; time-based metric; Meta; experimentation,2
Hallucinating Certificates: Differential Testing of TLS Certificate Validation Using Generative Language Models,"This paper presents MLCerts, a new approach that uses generative language models to create synthetic certificates for differential testing of TLS certificate validation. The main result is that MLCerts discovers significantly more discrepancies between five major TLS implementations than prior methods, revealing new security-relevant bugs.",TLS certificate validation; differential testing; generative language models; security bugs; X.509 certificates,2
Fuzzing Java Optimizing Compilers with Complex Inter-Class Structures Guided by Heterogeneous Program Graphs,"This paper presents InterFuzz, a fuzzing framework for testing Java compilers by generating test cases with complex inter-class structures. It uses a Heterogeneous Program Graph (HPG) to model and manipulate these relationships, and successfully uncovered 24 bugs in production compilers, most of which depend on intricate inter-class interactions. The main result is that InterFuzz finds bugs missed by traditional fuzzers, demonstrating the importance of testing inter-class structures.",fuzzing; Java compilers; inter-class structures; heterogeneous program graph; compiler bugs,0
META²V2V: Revealing Behavioural Deviations under Mutual Perception in Multi-Vehicle Autonomous Driving,"This paper introduces META²V2V, a metamorphic testing framework for evaluating autonomous driving systems (ADS) in multi-vehicle scenarios where vehicles share information via V2V communication. The framework injects controlled perturbations into V2V data to test the soundness and robustness of ADS decisions, using multi-objective search to efficiently generate test cases. Experiments show META²V2V identifies significantly more behavioral deviations than random testing.",autonomous driving; vehicle-to-vehicle communication; metamorphic testing; multi-vehicle systems; behavioral deviations,3
Beyond the Commit: Developer Perspectives on Productivity with AI Coding Assistants,"This paper investigates how to measure the productivity impact of AI coding assistants on developers, using a mixed-method study with surveys and interviews at BNY Mellon. It finds that conflicting survey opinions and six distinct factors—including long-term dimensions like technical expertise and work ownership—show a multifaceted approach is needed. The main result is that traditional short-term metrics are insufficient, and human-centered long-term factors are crucial for evaluating AI's effect on developer productivity.",developer productivity; AI coding assistants; mixed-method study; productivity measurement; human-centered metrics,2
Assessing the Sustainability-Quality (SQ) Model: A Multi-Year Empirical Study in Education,"This paper presents a multi-year empirical study where master's students applied the Sustainability-Quality (SQ) Model to 63 projects across various domains, collecting 275 sustainability concerns. The results show that while the model achieved 88% classification accuracy, concerns like carbon footprint were less frequently identified, indicating usability and areas for improvement in sustainability education. The study provides evidence that the SQ Model can reliably help novices connect quality attributes to sustainability dimensions.",Sustainability-Quality Model; software engineering; sustainability assessment; quality attributes; education,6
Fairness-First Design Thinking for Software Architecture,"This paper introduces a fairness-first Design Thinking approach for software architecture to address fairness issues in digital systems. The authors implemented this approach in a graduate course and analyzed student assignments to derive implications for practice and education. Their main result shows that fairness theory and context identification are essential for holistic design, and they propose using composite views to handle fairness as a cross-cutting concern.",fairness-first design; software architecture; Design Thinking; fairness in AI; software engineering education,3
Enforcing Control Flow Integrity on DeFi Smart Contracts,"This paper presents CrossGuard, a framework that enforces control flow integrity on DeFi smart contracts to detect and block attacks in real time. By analyzing historical transactions, the authors found that attacks introduce novel control flows, so CrossGuard uses whitelisting to revert transactions that deviate from observed benign patterns. The system blocks 35 out of 37 attacks with a low false positive rate and minimal cost, improving security without needing prior knowledge of specific exploits.",control flow integrity; DeFi security; smart contract protection; real-time attack detection; whitelisting policies,2
AnchorDiff: Binary OSS Version Identification Method Based on Anchor Node Slicing,"This paper presents AnchorDiff, a method for identifying the exact version of binary open-source software used in firmware by partitioning the version chain into regions using anchor nodes and performing binary code similarity detection. The main result is that AnchorDiff achieves high accuracy (up to 97.17%) while reducing storage requirements by a factor of 36, outperforming current state-of-the-art approaches.",binary code similarity; version identification; open-source software; security vulnerabilities; firmware analysis,0
Generating Energy-Efficient Code via Large-Language Models - Where are we now?,"This paper evaluates the energy efficiency of Python code generated by large language models (LLMs) compared to human-written code and code from a green software expert. Across 363 solutions and three hardware platforms, human-written code was more efficient on a server and Raspberry Pi, while LLMs performed best on a PC, but no LLM matched the efficiency of an experienced green software developer. The findings highlight that human expertise remains crucial for writing energy-efficient code.",energy efficiency; LLM-generated code; Python; green software; benchmarking,8
Depradar: Agentic Coordination for Context-Aware Defect Impact Analysis in Deep Learning Libraries,"DepRadar is a framework that uses four specialized AI agents to analyze defects introduced by updates to deep learning libraries like Transformers and Megatron. It extracts defect semantics from code changes, synthesizes triggering conditions, and checks downstream programs for impact, achieving high precision and recall. The main result is that DepRadar effectively identifies affected client code and silent defects, outperforming existing baselines.",agent coordination; defect impact analysis; deep learning libraries; static analysis; software maintenance,2
Intelligent Triage: Interpretable Incident Triage Workflow using LLM Extracted Triage Reasoning,"This paper introduces Intelligent Triage, a workflow that uses LLMs to extract step-wise triage reasoning from past incident solutions, rather than relying on end-to-end retrieval. The approach improves accuracy by 10 percentage points and reduces time to mitigation (TTM) by providing interpretable justifications for upstream tools and downstream teams. It has been deployed in Microsoft Azure for over six months with strong offline and online evaluation results.",incident triage; LLM reasoning; explainable AI; cloud services; workflow automation,2
TerraFormer: Automated Infrastructure-as-Code with LLMs Fine-Tuned via Policy-Guided Verifier Feedback,"TerraFormer is a framework that uses large language models fine-tuned with verifier feedback to automatically generate correct Infrastructure-as-Code (IaC) configurations from natural language. It combines supervised learning with reinforcement learning guided by formal tools that check syntax, deployability, and policy compliance, and outperforms many larger models on IaC generation and mutation tasks. The main result is significant improvements in correctness and compliance compared to existing LLMs.",Infrastructure-as-Code; LLM fine-tuning; automated configuration generation; policy compliance; neuro-symbolic framework,3
Scalpel: Automotive Deep Learning Framework Testing via Assembling Model Components,"This paper presents Scalpel, a method for testing automotive deep learning frameworks by assembling model components (heads, necks, backbones) to create test inputs that support multi-input, multi-modal, and multi-level processing. Scalpel detects crashes and bugs in frameworks like PaddleInference, achieving significant improvements in model generation and bug detection efficiency. The main result is that Scalpel found 16 crashes and 21 NaN & inconsistency bugs in Apollo, with 10 crashes confirmed by the community.",deep learning testing; autonomous driving; model component assembly; automotive framework; bug detection,2
CombCT: Compiler Testing via Combinatorial Testing,"This paper introduces CombCT, a novel compiler testing approach that uses combinatorial testing to systematically explore vast optimization sequences, which are a primary source of compiler bugs. The method incorporates techniques like dynamic sequence adaptation and diversity augmentation to improve bug detection. Experiments show CombCT finds more unique bugs than current methods, and it has already uncovered 14 previously unknown bugs in GCC and LLVM, most of which have been confirmed or fixed.",compiler testing; combinatorial testing; optimization sequences; bug detection; GCC and LLVM,1
GUISpector: An MLLM Agent Framework for Automated Verification of Natural Language Requirements in GUI Prototypes,"GUISpector is a framework that uses a multimodal large language model (MLLM) agent to automatically verify whether GUI prototypes meet natural language requirements. The agent plans and executes verification steps, provides detailed feedback for developers, and integrates with LLM-driven code generation to create a closed-loop improvement process. Evaluated on 150 requirements, it effectively detects satisfaction and violations.",GUI verification; multimodal LLM agent; natural language requirements; automated testing; agentic AI,2
GPTrace: Effective Crash Deduplication Using LLM Embeddings,"GPTrace uses a large language model to generate embeddings from crash-related data (e.g., stack traces) and then clusters them to deduplicate crashing inputs from fuzzing campaigns. The approach significantly improves deduplication accuracy over traditional hand-crafted methods and more complex state-of-the-art techniques, evaluated on over 300,000 crashes across 14 targets. This reduces manual analysis effort by grouping crashes that share the same underlying bug.",crash deduplication; fuzzing; LLM embeddings; software vulnerability; clustering,1
StorFuzz: Using Data Diversity to Overcome Fuzzing Plateaus,"StorFuzz is a new fuzzing technique that overcomes plateaus in long-running fuzzing campaigns by using data coverage based on memory stores, rather than relying solely on code coverage. It diversifies the corpus to discover new program behavior and bugs, finding 50 new bugs in well-tested projects like VLC and PHP. The method outperforms existing fuzzers on multiple benchmarks and is complementary to static data-guided approaches.",fuzzing; data coverage; memory stores; bug discovery; software testing,0
Knowledge Matters: Injecting Project and Testing Knowledge into LLM-based Unit Test Generation,"This paper introduces KTester, a framework that improves LLM-based unit test generation by injecting project-specific and testing-domain knowledge through static analysis and structured prompting. The approach separates test design from test generation and uses multi-perspective heuristics, outperforming existing methods in correctness, coverage, and maintainability across multiple open-source projects.",unit test generation; large language models; knowledge injection; static analysis; software testing,2
Towards Bridging Language Gaps in OSS with LLM-Driven Documentation Translation,"This paper explores using large language models (LLMs) like ChatGPT and Claude to translate open-source technical documentation, which mixes natural language, code, and markdown. It finds that LLMs can produce accurate semantic translations but sometimes fail to preserve formatting and technical details. The study provides a foundation for automated, LLM-driven documentation translation in open-source projects.",large language models; documentation translation; open source software; technical documentation; automated translation,1
A Large-Scale Empirical Study of Secret Key Leakage in Hugging Face Spaces,"This paper presents the first large-scale empirical study of secret key leakage in Hugging Face Spaces, analyzing over 300,000 public repositories. The authors developed a framework called Secret Reviewer that combines static analysis and LLM-based detection, finding nearly 10,000 repositories with leaked secrets, including many from major AI providers, with a significant portion remaining active. The study highlights critical security risks in AI platform ecosystems and calls for stronger security practices.",secret leakage; Hugging Face Spaces; API token exposure; static analysis; LLM-assisted detection,2
How Good are Input Grammar Miners? An Empirical Study,"This paper evaluates the accuracy of input grammar miners, which extract context-free grammars from inputs or code to generate valid test inputs. The authors find that previous evaluations are biased towards short inputs and propose using k-path coverage to measure grammar diversity at different depths. Their results show that precision and recall drop significantly for deeper diversity, especially for complex languages, indicating that existing grammar miners need improvement.",grammar mining; empirical evaluation; test input generation; context-free grammar; k-path coverage,0
Catching License Changes Before They Cost: Leveraging LLMs to Analyze License Evolution in Open Source Software - Solution to challenge #13,"This paper proposes using large language models (LLMs) to detect and analyze license changes in open-source software over time, aiming to prevent costly compliance issues. The main result is a solution to a specific challenge that leverages LLMs for automated license evolution analysis.",license evolution; open source software; LLMs; license compliance; software licensing,0
SEALing the Gap: A Reference Framework for LLM Inference Carbon Estimation via Multi-Benchmark Driven Embodiment,"This paper proposes a reference framework called SEAL for estimating the carbon footprint of LLM inference at the per-prompt level, addressing the growing sustainability concerns of LLMs in software engineering. The framework uses multi-benchmark-driven machine learning models to provide accurate carbon measurements, with initial validation showing promising results. The work aims to standardize sustainability assessment across the LLM ecosystem.",LLM inference carbon estimation; sustainability assessment; carbon footprint; machine learning models; green AI,9
Sapling: Quantifying and Measuring the Maturity of the RISC-V Software Ecosystem,"This paper introduces Sapling, an automated framework that evaluates the maturity of the RISC-V software ecosystem across multiple domains, components, and dimensions. The study finds that the ecosystem is still developing but shows steady progress and potential for broader industry use, and it provides key insights and recommendations for further advancement.",RISC-V; software ecosystem maturity; open-source hardware; automated evaluation framework; ecosystem assessment,0
No Shot in the Dark: Efficient Context-Free Language Reachability via Context-Aware Tabulation,"This paper introduces context-aware tabulation (CAT), a method that adds limited context sensitivity to context-free language reachability to prune unproductive edges during static program analysis. Experiments show CAT achieves up to 2.13x speedup and reduces memory usage by up to 50% compared to existing solvers.",context-free language reachability; static program analysis; context-aware tabulation; edge pruning; performance optimization,0
SSAR: A Novel Software Architecture Recovery Approach Enhancing Accuracy and Scalability,"This paper presents a new software architecture recovery approach called SSAR that combines semantic similarity and structural dependencies between files to create a weighted graph, then uses an optimized community detection algorithm to partition the graph for modularization. The method improves accuracy by up to 500% on certain metrics and reduces execution time by 5% to 99% compared to existing techniques. The main result is a more precise and scalable architecture recovery process for large-scale software systems.",software architecture recovery; community detection; modularization; weighted graph; accuracy and scalability,0
An Ontology-Based Approach to Security Risk Identification for Container Deployments in OT Contexts,"This paper presents a model-based approach called the Container Security Risk Ontology (CSRO) to automate security risk identification for container deployments in operational technology (OT) environments. It integrates key domains such as adversarial behavior, attack scenarios, and risk assessment rules to enable reproducible and interpretable risk analysis. The approach is validated through a case study, showing that it can automatically calculate risk levels from deployment artifacts.",container security; operational technology; risk identification; ontology; automated risk assessment,3
EmbedAgent: Benchmarking Large Language Models in Embedded System Development,"This paper introduces EmbedAgent, a benchmark for evaluating large language models on embedded system development tasks, including programming, circuit design, and cross-platform migration. It tests ten LLMs across 126 cases and finds that even top models like DeepSeek-R1 struggle, achieving only 55.6% accuracy with schematics and 50% without. The authors also propose strategies like retrieval-augmented generation and compiler feedback, which improve performance significantly.",large language models; embedded systems; benchmark; circuit design; cross-platform migration,0
The Undecidability of Overfitting in Automated Program Repair,"This paper argues that overfitting in automated program repair (APR) is not merely a practical flaw but a fundamental consequence of undecidability, arising from the inherent incompleteness of test suites as correctness oracles. The authors reframe overfitting as an unavoidable structural boundary of APR, rather than a solvable issue, and propose a research agenda focused on quantifying, explaining, and reasoning about overfitting within these limits.",automated program repair; overfitting; undecidability; test suites; software correctness,1
Debugging Performance Issues in WebAssembly Runtimes via Mutation-based Inference,"This paper introduces WarpL, a mutation-based tool for debugging performance issues in WebAssembly (Wasm) runtimes by identifying suboptimal instruction sequences. The tool creates functionally similar mutants where the issue disappears and compares machine code to pinpoint root causes. Evaluated on 12 real-world issues, WarpL correctly identified causes in 10 cases and discovered six previously unknown issues in Wasmtime.",WebAssembly; performance debugging; mutation-based analysis; runtime optimization; Wasmtime,1
An Eye for AI: Eye-Tracking the Micro-Interruptions of GenAI Code Suggestions,"This paper uses eye-tracking to study how developers interact with generative AI code suggestions, finding that about half of suggestions are not looked at and over 75% of those viewed are not used. These suggestions cause brief micro-interruptions that disrupt developer flow, even though they are reviewed for less than a second on average. The authors propose more efficient and context-aware AI suggestions to reduce cognitive overhead.",eye-tracking; generative AI; code suggestions; developer cognition; micro-interruptions,2
Inside Out: Uncovering How Comment Internalization Steers LLMs for Better or Worse,"This paper investigates how large language models (LLMs) internalize comments in source code during software engineering tasks. By using Concept Activation Vectors, the authors show that LLMs treat comments as distinct concepts and that manipulating these concepts can drastically change task performance. The main result is that code summarization strongly activates comment concepts, while code completion shows weak sensitivity, suggesting new ways to build SE tools that reason about internal representations.",concept interpretability; LLM; code comments; software engineering; Concept Activation Vectors,1
A First Look at Model Supply Chain: From the Risk Perspective,"This paper constructs the first comprehensive model supply chain map for AI models on Hugging Face, analyzing over 1.8 million models and half a million dependency relationships. It characterizes the usage, evolution, quality, and risks of this supply chain, offering insights for stakeholders to improve model reuse and risk management.",model supply chain; Hugging Face; risk management; AI model provenance; model dependency,3
Exploring and Improving Real-World Vulnerability Data Generation via Prompting Large Language Models,"This paper explores using large language models (LLMs) to generate realistic vulnerability data for software security analysis, finding that advanced prompting strategies like few-shot learning and VICS achieve up to 93% success on synthetic data and 88% on real-world code. The generated data significantly improves downstream deep learning models for vulnerability analysis, boosting accuracy by up to 36.2% and even outperforming advanced LLMs directly performing the analysis. The main result is that LLM-generated vulnerability data is highly useful for training better security models.",vulnerability generation; large language models; prompt engineering; software security; data augmentation,1
Project-Level Resource Leak Detection through Agent-based Ownership Analysis and Repair Pattern Verification,"This paper introduces AROP, a framework for detecting resource leaks in large codebases by combining LLM-based agents with project-level metadata analysis. It achieves high precision and recall on benchmarks, discovering over 100 new real-world defects, with many patches accepted by developers.",resource leak detection; LLM-based agents; static analysis; project-level metadata; data-flow analysis,3
Understanding DevOps Security of Google Workspace Apps,"This paper investigates the DevOps security of Google Workspace add-ons, focusing on how third-party apps are developed, deployed, and operated. The authors propose a hybrid static and dynamic analysis method to uncover vulnerabilities such as source code leakage and secret key exposure. Their large-scale study of 5,300 add-ons found that 274 apps leaked source code, and 96 of those exposed sensitive developer secrets like database or payment keys.",DevOps security; Google Workspace add-ons; source code leakage; secret key exposure; third-party app vulnerabilities,4
Towards Automating Domain-Specific Data Generation for Text-to-SQL: A Comprehensive Approach,"This paper presents SelectCraft, a method for automatically generating large-scale, domain-specific Text-to-SQL datasets by leveraging existing database structures. As a proof of concept, the authors created a financial dataset with over one million samples and fine-tuned a new language model, BanQL, which outperformed existing models in accuracy and generalizability. The work aims to improve the reliability of natural language interfaces that convert text to SQL queries.",Text-to-SQL; domain-specific data generation; large language models; automatic dataset creation; natural language interfaces,0
Towards Scalable and Interpretable Mobile App Risk Analysis via Large Language Models,"This paper presents Mars, a system that uses large language models (LLMs) to automate the analysis of mobile apps for security risks, reducing the need for manual review. It filters app features through a risk identification tree before LLM analysis to improve accuracy, and automatically generates evidence chains for transparency. Evaluated on real-world Android app data, Mars achieved high F1-scores in risk identification and evidence retrieval, and a user study showed it improved analyst efficiency by 60-90%.",mobile app security; LLM; risk analysis; automated vetting; evidence chain,3
Environment-Aware Code Generation: How far are We?,"This paper introduces Environment-Aware Code Generation (EACG), which requires LLMs to produce code that is both functionally correct and executable under specific user software environments. The authors create a benchmark called VersiBCB from real-world Python projects and test three adaptation strategies (retrieval-augmented, mixture-of-experts, memory-augmented). Their main result is that current LLMs struggle with environment-specific code generation, but their strategies improve compatibility and executability.",environment-aware code generation; large language models; software environment compatibility; benchmark construction; code generation adaptation,1
NB2P: Generating Data Science Pipelines from Computational Notebooks,"This paper presents NB2P, a system that automatically extracts data science pipelines from computational notebooks. By parsing notebooks into abstract syntax trees and using a learned encoding-decoding algorithm for semantic segmentation, NB2P recovers execution order and groups operations into pipeline stages. Experiments show it outperforms baselines, including large language models, for extracting deployable pipelines.",computational notebooks; data science pipelines; semantic segmentation; abstract syntax tree; pipeline extraction,0
Characterizing Regression Bug‑Inducing Changes and Improving LLM‑Based Regression Bug Detection,"This paper characterizes the code changes that introduce regression bugs by analyzing 280 bugs from open-source Java projects, finding that feature additions, bug fixes, performance improvements, and refactoring are common triggers. It also evaluates large language models (LLMs) for detecting such bugs, showing limited ability, and proposes LLM4Reg, a method that significantly improves precision, recall, and explanation in LLM-based regression bug detection.",regression bugs; bug-inducing changes; large language models; software quality; Java projects,0
Model Discovery and Graph Simulation: A Lightweight Gateway to Chaos Engineering,"This paper proposes a lightweight approach to chaos engineering by using a simple service-dependency graph model with replica counts to estimate system availability under fail-stop faults. The authors introduce model discovery, an automated method that builds such models from existing artifacts like distributed traces and service-mesh telemetry, eliminating the need for handcrafted models. Experiments on DeathStarBench show the discovered model closely tracks live fault-injection results, offering a low-cost way to triage expensive chaos experiments and generate real-time resilience signals.",chaos engineering; model discovery; service-dependency graph; availability estimation; resilience testing,3
